Year	Month	Balance
1	1	5025.000000
1	2	5050.125000
1	3	5075.375625
1	4	5100.752503
1	5	5126.256266
1	6	5151.887547
1	7	5177.646985
1	8	5203.535220
1	9	5229.552896
1	10	5255.700660
1	11	5281.979164
1	12	5308.389059
2	1	5334.931005
2	2	5361.605660
2	3	5388.413688
2	4	5415.355756
2	5	5442.432535
2	6	5469.644698
2	7	5496.992921
2	8	5524.477886
2	9	5552.100275
2	10	5579.860777
2	11	5607.760081
2	12	5635.798881
3	1	5663.977875
3	2	5692.297765
3	3	5720.759254
3	4	5749.363050
3	5	5778.109865
3	6	5807.000414
3	7	5836.035417
3	8	5865.215594
3	9	5894.541672
3	10	5924.014380
3	11	5953.634452
3	12	5983.402624
4	1	6013.319637
4	2	6043.386235
4	3	6073.603167
4	4	6103.971182
4	5	6134.491038
4	6	6165.163494
4	7	6195.989311
4	8	6226.969258
4	9	6258.104104
4	10	6289.394624
4	11	6320.841597
4	12	6352.445805
5	1	6384.208035
5	2	6416.129075
5	3	6448.209720
5	4	6480.450769
5	5	6512.853022
5	6	6545.417288
5	7	6578.144374
5	8	6611.035096
5	9	6644.090271
5	10	6677.310723
5	11	6710.697276
5	12	6744.250763
